time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch,z,y,x,1.0
1619719410487168800,-6025.775831298830,-0.7046091611743290,0.3790383088341970,-0.21930744550232800,0.6453640819956750,0.8804057650721340,0.18198859561540200,0.6280798224862720,-6.339217050540450,-5.7623103120327000,4.772891278404000,1.0
1619719410497094700,-6025.765905273440,-0.7031812785852820,0.37916070187320400,-0.2186099806852340,0.6449988242761890,0.8805337236671320,0.18195357929495400,0.6287989260821890,-6.337647024744750,-5.768014661154150,4.768083001339440,1.0
1619719410507020800,-6025.755979248050,-0.7020932370457860,0.37956724409665600,-0.21789515091775500,0.6449774466706010,0.8805469553601800,0.18189914970874800,0.6300481662729070,-6.331985345721240,-5.777918215531110,4.763611701144280,1.0
1619719410516946700,-6025.746053222660,-0.7014071736677650,0.3802970449000950,-0.2171096527903400,0.6457638926599100,0.880399954320353,0.18202594037019500,0.6317870778689110,-6.320203722512720,-5.791687797686460,4.7625364731282,1.0
1619719410526872600,-6025.736127441410,-0.7011248982438700,0.38120357921514400,-0.21632125942966500,0.6473640858757130,0.8801227866270760,0.18240812261567900,0.6336553058551740,-6.3039323866695200,-5.806462757492070,4.766109947700800,1.0
1619719410536797700,-6025.726202392580,-0.7005613405243970,0.38193655351386400,-0.21557992988595000,0.6482305132360100,0.8799565194837200,0.18255443326692400,0.635357111316052,-6.29191403209567,-5.819903253823520,4.765596737481650,1.0
1619719410546723800,-6025.716276123050,-0.6997350888507650,0.38241436431674300,-0.21501932414022000,0.6477602563130390,0.879958381262468,0.18220612724533300,0.636844890698853,-6.287243117675180,-5.831639868846540,4.757407585807150,1.0
1619719410556649700,-6025.706350341800,-0.6986955444979730,0.38274734785974800,-0.2146196395919640,0.645902637228517,0.88010310478201,0.1812771214927380,0.6383896310093130,-6.288868673050400,-5.843811952677370,4.7402924926161800,1.0
1619719410566575900,-6025.6964240722700,-0.697846132115215,0.3831187210205300,-0.21431369239551600,0.6439112370899680,0.8802298978344970,0.18023614534384600,0.6400193448854680,-6.290671338558200,-5.856638701024650,4.722035828174650,1.0
1619719410576501800,-6025.686498291020,-0.6971729467113750,0.383650605495224,-0.21388537853006700,0.6428609077765190,0.8802416194928640,0.1795546546699780,0.6417550387400310,-6.287481602606180,-5.870282610973720,4.709324522900580,1.0
1619719410586427600,-6025.676572265630,-0.6963650972609150,0.38437004819163500,-0.21314304012130200,0.6429474579686340,0.8801473349832480,0.17936124266148800,0.6436828037302920,-6.278005918252470,-5.885415298175810,4.703075691638890,1.0
1619719410596353800,-6025.6666462402300,-0.6954230192370500,0.38522408196330400,-0.21217860351901200,0.6436901858300080,0.8799898559263330,0.17944474918030800,0.6458004636967630,-6.264526843476300,-5.902013381755350,4.700246313431860,1.0
1619719410606278700,-6025.656721435550,-0.6945717931271440,0.38608421827711100,-0.21121251085066700,0.6447233564711340,0.8798024385433750,0.1796547374463710,0.6478394517008370,-6.250035961309080,-5.917970244821910,4.6994741600155800,1.0
1619719410616204800,-6025.646795166020,-0.6938505939125060,0.3867770050125890,-0.2104379678657740,0.6454035108994420,0.8796634049062220,0.17975429128536400,0.6495309031874400,-6.238832430249450,-5.931188622835280,4.697696044427160,1.0
1619719410626131000,-6025.636869140630,-0.6931613905988560,0.3871909456271960,-0.20993563296108800,0.6452149848179180,0.8796410762441590,0.17955979070206500,0.6507535510235070,-6.2339195237666400,-5.94073269625008,4.692155361434820,1.0
1619719410636056600,-6025.626943359380,-0.6926056999433050,0.38740066306305600,-0.20964974587002600,0.6446452356370810,0.8796783530530800,0.17925907459258900,0.6515413317884110,-6.23284984870851,-5.946877190354470,4.685789625795190,1.0
1619719410645983000,-6025.617017089840,-0.6924696774260170,0.38764394240178700,-0.20947805092434300,0.6445790380423560,0.8796389483836580,0.17912675442571700,0.6521884854711720,-6.230082137560840,-5.951922198784350,4.683063123440740,1.0
1619719410655908900,-6025.607091064450,-0.6927269745832530,0.3880988944517240,-0.20929684770360000,0.6451960510320990,0.8794732851750730,0.17916673386906200,0.6530947123103250,-6.222879074314240,-5.9589832232117600,4.683660504812000,1.0
1619719410665834000,-6025.597166015630,-0.6930944170694160,0.38876791883634400,-0.20903079325475500,0.6460586739186470,0.8792333254303480,0.17920460072802900,0.6544422933429860,-6.2124190550982900,-5.96947305304408,4.684188035817440,1.0
1619719410675759900,-6025.587240234380,-0.6931224636252920,0.38949800005852100,-0.20857622103678500,0.6468849887337920,0.8790100009034480,0.17924469097752800,0.6560264094525930,-6.200992821198700,-5.981790682825450,4.6836149121046100,1.0
1619719410685685800,-6025.577314208990,-0.6929266320290990,0.39016459289815800,-0.20804269870927,0.6477140553248000,0.8788191006868780,0.17935079662999600,0.6575037754447620,-6.190053494033220,-5.993264847519990,4.683416759184000,1.0
1619719410695612000,-6025.567388183590,-0.6928359313438270,0.3906666925908970,-0.2076975089522290,0.6481334922242560,0.8786836947940690,0.17932125045296500,0.6586575208718890,-6.182571613845230,-6.002216800260540,4.681835042950510,1.0
1619719410705537800,-6025.557462158200,-0.6931061498874650,0.39098045210273200,-0.2077146569392080,0.6478780510965380,0.8786058687768740,0.17899927706195800,0.6594394085097930,-6.180024267449980,-6.008278292256590,4.6774227794662100,1.0
1619719410715464000,-6025.547536132810,-0.6938131283655670,0.39115252730733200,-0.20805552548130300,0.6473121643528950,0.8785441765057090,0.1785291422516110,0.6598541194806540,-6.180681270053980,-6.01149199360609,4.672421317917110,1.0
1619719410725390000,-6025.537609863280,-0.6945601040350660,0.391301038577414,-0.20845081388686500,0.6465818796957120,0.8784950165760330,0.1779836872156060,0.660244941960756,-6.182216224536300,-6.0145198169946700,4.6664904665634000,1.0
1619719410735315000,-6025.527685058590,-0.6948973204012570,0.3914558111929460,-0.20865649270887200,0.6457770397014910,0.878483056125399,0.1774603380349680,0.6607612948377550,-6.183488728690150,-6.018518531242010,4.6596433771476100,1.0
1619719410745240800,-6025.517759277340,-0.6946051121821250,0.39156819539809500,-0.2085316628936990,0.645299002956609,0.8785124450917390,0.17721395076170000,0.6612268925197650,-6.183476453730460,-6.02212269321382,4.6550016888216100,1.0
1619719410755167000,-6025.507833007810,-0.693702281422824,0.3916302608047250,-0.2080508913181480,0.6454099860799450,0.8785663762439810,0.17737457529789000,0.6615498456532660,-6.1814060771971900,-6.02462210881412,4.654517704696950,1.0
1619719410765092900,-6025.497907226560,-0.69258135013529,0.39172923004996900,-0.20732208864960200,0.6463773310346340,0.8785740883011460,0.17797031022377000,0.6617925280606580,-6.175733292257790,-6.026499593123790,4.659614443314080,1.0
1619719410775019000,-6025.487980957030,-0.6914303981986450,0.39175140701016600,-0.20655316755258600,0.6477683653455690,0.8785735809936460,0.1788162801574520,0.6617453557257270,-6.169473062819240,-6.0261348514646300,4.668372334787250,1.0
1619719410784945000,-6025.478055175780,-0.6906260654067940,0.39160089577526200,-0.20604219710945600,0.6491023725823800,0.8785870361071070,0.17966696172250100,0.661210882004253,-6.1658040189176800,-6.021998774573210,4.678544184711580,1.0
1619719410794870000,-6025.468129882810,-0.6906330923503170,0.39146563900760300,-0.2059295432140520,0.6503394292472500,0.8785358181440180,0.1803395720699480,0.660559402289884,-6.163132169359920,-6.016954935187100,4.688541847112770,1.0
1619719410804796000,-6025.458204101560,-0.6919204910624940,0.3914710434884790,-0.20641302964701100,0.6512645487454810,0.8783672424258750,0.1805962356351610,0.6600493655615960,-6.1612324732184400,-6.013004736256600,4.696101468712090,1.0
1619719410814721800,-6025.448278320310,-0.6940232970610120,0.391606378922695,-0.207316560199973,0.6515801045411900,0.878141407471825,0.18036644207683400,0.6598339342032780,-6.160780637797710,-6.011335926261540,4.698831478197870,1.0
1619719410824648000,-6025.438352050780,-0.6960232766880630,0.3917613414703930,-0.20822912512376300,0.6514266014367830,0.8779494480230870,0.17991198832590700,0.6598109274183830,-6.1616106588810700,-6.01115764708519,4.6979690161496400,1.0
1619719410834574000,-6025.428426025390,-0.6970690406826610,0.39175423262339500,-0.2087773709536950,0.6511487913799190,0.877881989870003,0.1796212399397090,0.6596322236640470,-6.1637704672634600,-6.009772914728520,4.6969081089198600,1.0
1619719410844499700,-6025.418500244140,-0.6964748008840740,0.3913748291759540,-0.20873522126904000,0.6507254144598270,0.8780466682221110,0.17969252840541100,0.6589340482631270,-6.169095461678510,-6.004360826551910,4.6968388430759300,1.0
1619719410854425900,-6025.40857421875,-0.6943415302794710,0.39066344012232900,-0.20810638808380800,0.6503265765182330,0.8784142217008340,0.18017267903824700,0.6577508257470810,-6.176618258398770,-5.995182663840060,4.698675995375220,1.0
1619719410864350700,-6025.398649169920,-0.6915351027286190,0.389900695569238,-0.2071240556632950,0.6502853306661890,0.8788247709625480,0.18095302393422800,0.6565015162715750,-6.182768013200160,-5.985482523080710,4.702951772998270,1.0
1619719410874276900,-6025.3887231445300,-0.6889324452225210,0.38937749882422000,-0.20606933630289800,0.6506193179443380,0.8791368965036970,0.18176598573250200,0.6557066010188100,-6.184981597596410,-5.979305295750500,4.707897120445970,1.0
1619719410884203000,-6025.378796875,-0.6874620309032940,0.38919093202681500,-0.20532283241781300,0.6514815255190560,0.879241964140737,0.18250094359223800,0.6553575739843080,-6.182579212629800,-5.976591945138570,4.714493449971080,1.0
1619719410894129000,-6025.36887109375,-0.6870472010031170,0.3892909156309770,-0.20499282076377000,0.6520424241253850,0.8792148109308610,0.18278867028360800,0.6555558278294080,-6.178991417270900,-5.978133329361680,4.717240995113550,1.0
1619719410904054800,-6025.3589453125,-0.6876805870125140,0.3896537366586440,-0.20507161238360400,0.6524088706230540,0.8790552714054990,0.18269451708920700,0.656216359804077,-6.174123518973590,-5.983266600596900,4.7171065550789200,1.0
1619719410913981000,-6025.349019042970,-0.6890180989426990,0.3901898825455070,-0.20540450713215500,0.6527932144009640,0.8787972840206310,0.18241753611638100,0.6571423746659380,-6.167905959632990,-5.990459142449500,4.716111991083620,1.0
1619719410923905800,-6025.339094238280,-0.6903241911139590,0.3907381903934280,-0.20572785454182500,0.6530946164706180,0.87854427569084,0.18209769962216800,0.6581274308528910,-6.161794783276320,-5.998104688766600,4.714382683072980,1.0
1619719410933832000,-6025.32916796875,-0.6910252210564460,0.391193728533195,-0.20580592874323600,0.6533763220399170,0.8783633500810330,0.18190439221423500,0.659025183202877,-6.156188633832340,-6.005067513516550,4.712843344676490,1.0
1619719410943758000,-6025.319241943360,-0.690988229011071,0.39140507871344600,-0.20563063719785000,0.6537564034528820,0.8782922364274720,0.18199133172156500,0.6594599114983650,-6.152323775097730,-6.008437282210590,4.713594747565690,1.0
1619719410953684000,-6025.309315917970,-0.690481936431468,0.3912871950701870,-0.20537655189967300,0.654210698587726,0.8783300164446930,0.1823487304343940,0.6591666131047240,-6.151579678732160,-6.006164076581600,4.717461067605020,1.0
1619719410963609900,-6025.299390136720,-0.6900546697634140,0.39100360208317900,-0.20524452182549100,0.6546378200684270,0.8784010959909090,0.1827630126502690,0.6584527093513570,-6.152964411088820,-6.0006280697643800,4.72269779921472,1.0
1619719410973536000,-6025.289464111330,-0.6900758394852510,0.39079850908985600,-0.20531372600317200,0.6549116669090030,0.8784278244804010,0.1829957815253550,0.6578708818898400,-6.154439159816500,-5.996114391732220,4.726508881935480,1.0
1619719410983462000,-6025.279538085940,-0.6905285978098700,0.39082166865922100,-0.2055062103907870,0.6550158273000140,0.8783783393386620,0.182967436600478,0.6577991164646340,-6.154287768647070,-5.995557342371340,4.727411675994100,1.0
1619719410993387000,-6025.26961303711,-0.6912589905707500,0.39109060165242600,-0.20572973165476000,0.6550134432154100,0.8782570876976650,0.18272310805805600,0.658300068034345,-6.151915778818730,-5.99944382841587,4.725566340388360,1.0
1619719411003313000,-6025.259687011720,-0.6920649424774890,0.391510155870213,-0.20593585924099900,0.6548805303680050,0.878103969626556,0.18232821014570000,0.6591908268232160,-6.148303433540460,-6.006351708108190,4.721492222817240,1.0
1619719411013238800,-6025.249761230470,-0.6927349602596940,0.3919247444838850,-0.20613298763996400,0.6543747712126280,0.8779879618368500,0.18177295666261600,0.6601959129916970,-6.145898125964400,-6.014139877766370,4.7147056314170400,1.0
1619719411023165000,-6025.2398349609400,-0.6930697082117960,0.39219913449633500,-0.20630879273966700,0.6533709997530760,0.8779645641711480,0.18109355515868100,0.6610569591974120,-6.146513042992350,-6.020807518962030,4.705384845364090,1.0
1619719411033090800,-6025.229909179690,-0.6929776690265120,0.3922883779351600,-0.20642531155309500,0.6519768652821990,0.878044199653872,0.18037933178089800,0.6616548749078730,-6.150203714203830,-6.025434594240780,4.694625258679690,1.0
1619719411043017000,-6025.219983154300,-0.6925256450185120,0.3921834484026360,-0.20649358925971800,0.6503660015602160,0.8782123444279100,0.17970990596039300,0.6619077009441130,-6.156546361228820,-6.027390989005570,4.6837899764105700,1.0
1619719411052943000,-6025.210056884770,-0.6918544763099630,0.39192638710707500,-0.20654621224649000,0.6486395115129060,0.8784407756436640,0.17909250211770600,0.6618616567855990,-6.164844233974810,-6.027034430652860,4.6733211893662800,1.0
1619719411062868000,-6025.200132080080,-0.691132170162134,0.3916276292672660,-0.20660669846415700,0.646825557678082,0.8786883958668780,0.178460392161382,0.661745795483926,-6.173868667429690,-6.026138358595970,4.662551373548810,1.0
1619719411072793900,-6025.190206054690,-0.6906082671827490,0.39143464330323900,-0.20668350038987300,0.6452060148521360,0.8788819065361040,0.17784092794579200,0.6617977642038700,-6.181161162525420,-6.026540509656070,4.652358188575510,1.0
1619719411082719700,-6025.180280273440,-0.6904409560369600,0.39140011468936000,-0.20678790556851,0.6440544967756890,0.878978377386922,0.17731844428474500,0.662043419101583,-6.185331141686440,-6.028440790319440,4.644348777382080,1.0
1619719411092646000,-6025.170354003910,-0.690483199612107,0.39146406625982700,-0.20689948685582000,0.6432232489185550,0.8790134133949950,0.1768725460935470,0.6624045483156850,-6.187446526405220,-6.0312336359083600,4.637899162851270,1.0
1619719411102572000,-6025.160427978520,-0.6903751611312790,0.3915209245322070,-0.2069658203351840,0.6422303212762820,0.8790727091081100,0.17637364667824100,0.6628224071031430,-6.190030113157630,-6.0344642883926600,4.630243387401100,1.0
1619719411112498000,-6025.150502197270,-0.6901807816598200,0.3914678297918610,-0.20713386906599100,0.6406170888038280,0.8792040674405890,0.17563782339694700,0.663146004175135,-6.1959256009370100,-6.036965457558630,4.619083987744150,1.0
1619719411122423800,-6025.140576171880,-0.6898626397239490,0.3912461036386060,-0.2074116794588910,0.6383940186322710,0.8794231498862720,0.1747046589926140,0.6632361726313980,-6.205741477030520,-6.037662207651140,4.604973921588060,1.0
1619719411132349000,-6025.130651123050,-0.6893381375840420,0.3908482016981060,-0.20771327730275600,0.6358967013014470,0.87971702907323,0.17375477587689100,0.6630066277649240,-6.218337339231370,-6.035888183715940,4.590284886500240,1.0
1619719411142274800,-6025.120725097660,-0.6886764501817630,0.390295716784904,-0.20800792991422600,0.6334874519318390,0.8800523504921680,0.17294440942950700,0.662403351812483,-6.232312088570000,-6.03122428355813,4.5774449864104400,1.0
1619719411152201000,-6025.110799072270,-0.6879287789048280,0.38961469048061500,-0.2082839552092960,0.6313265350196840,0.8804090063797520,0.17233125653478200,0.6614388453878280,-6.246881881192330,-6.023762861636280,4.567397931909560,1.0
1619719411162126800,-6025.100873046880,-0.6872902323227800,0.3889330368885010,-0.20854493968233100,0.629619561128266,0.8807282709216510,0.171923676994491,0.6603344321331400,-6.26004239153862,-6.015213059955840,4.560642612430450,1.0
1619719411172052700,-6025.090947265630,-0.687033198140134,0.3884673784878640,-0.20877765887169500,0.6286654923038580,0.8809180379292720,0.1717215772585910,0.6594883648617160,-6.2685045149356100,-6.008657646963,4.5576592127054900,1.0
1619719411181979000,-6025.081021240240,-0.6872803734064840,0.3882416477084410,-0.2090287946484360,0.6284786459919110,0.8809617444144810,0.17170235957101600,0.6589292341118110,-6.272073021072150,-6.004323417150970,4.558462345781920,1.0
1619719411191904800,-6025.071095214840,-0.6878931228137110,0.38816911316732900,-0.2093372658495010,0.6286144176808680,0.8809187222615420,0.17171130229395000,0.65858668142613,-6.273116977167130,-6.001667349684240,4.560523077704010,1.0
1619719411201830000,-6025.0611701660200,-0.6886103379684520,0.38814399419363300,-0.20969548168628100,0.6286011180511700,0.8808647982264820,0.17160793861709500,0.6583770707054530,-6.274196004575490,-6.00004120978713,4.5611794957861300,1.0
1619719411211756000,-6025.051243896480,-0.6892872099836060,0.38811603638612100,-0.21008224873343700,0.62826654220968,0.8808342967946500,0.17135412886765000,0.6582518748007040,-6.276328924950960,-5.999070318928360,4.55952120718509,1.0
1619719411221682000,-6025.041318115230,-0.6897328527325940,0.3880003624167010,-0.21045367428913400,0.6275530088259970,0.8808669922089130,0.17099196981492200,0.6580581465047490,-6.280521115943790,-5.997566928628090,4.5557241529896900,1.0
